,id,date,rawContent,cleaned_content,english_relative_frequency
0,1,2022-05-20 08:54:27+00:00,Everton fans thinking they've done something when they've avoided relegation by the skin of their teeth https://t.co/Rj2vBTP4Dc,everton fans thinking theyve done something when theyve avoided relegation by the skin of their teeth,0.8125
1,2,2022-05-20 08:54:27+00:00,that is the queen of genovia https://t.co/OjkEDBCn6j,that is the queen of genovia,0.8333333333333334
16,17,2022-05-20 08:54:25+00:00,"#NP Sorceress, Chaos In The Cbd - Teacups (Chaos in the CBD Remix)

Playing #Afrohouse #Amapiano | African Electronic Music worldwide 24/7 #DrumsRadio",sorceress chaos in the cbd teacups chaos in the cbd remix playing african electronic music worldwide 247,0.875
22,23,2022-05-20 08:54:25+00:00,"🚨 Breaking: Antonio Rudiger confirms Chelsea departure in passionate statement | @BobbyVincentFL

#CFC 

https://t.co/qWwAXhkmT7",breaking antonio rudiger confirms chelsea departure in passionate statement,0.8888888888888888
24,25,2022-05-20 08:54:24+00:00,Forgot to say this yesterday is pulisic mad #cfc,forgot to say this yesterday is pulisic mad,0.875
26,27,2022-05-20 08:54:24+00:00,People with disabilities losing out on AE contributions https://t.co/M6FAvf9SrR,people with disabilities losing out on aecontributions,0.8571428571428571
38,39,2022-05-20 08:54:22+00:00,"🗓️ 26th May 2022 
Smau | Italy RestartsUp 2022 📍 The Old Truman Brewery, London 🇬🇧

Come and meet the Italian #innovation ecosystem!
37 Italian #startups 🇮🇹 will showcase their products and services to corporates and investors.

Register here: https://t.co/LOAfKSfZKY https://t.co/VQQ9UG2RRN",26th may 2022 smau italy restartsup 2022 the old truman brewery london come and meet the italian ecosystem 37 italian will showcase their products and services to corporates and investors register here,0.8928571428571429
82,83,2022-05-20 08:54:17+00:00,WHOS COMING TO MEET US AT VEECON TODAY?,whos coming to meet us at veecon today,0.875
86,87,2022-05-20 08:54:17+00:00,"Ad: All sizes are carting...GOOOOOO!

Link &gt; https://t.co/PDFjz85Cbw https://t.co/F2TvZaX3CN",ad all sizes are carting goooooo link gt,0.875
88,89,2022-05-20 08:54:16+00:00,Close-up shots of Cyberpunk Downtown (OC) via /r/Cyberpunk by u/ ikuromex #cyberpunk #cyberpunk2077 #gaming https://t.co/xfqxrefPxc,close up shots of cyberpunk downtown oc via rcyberpunk by u ikuromex,0.8333333333333334
